id,File Name,URL,Player Name,Make,Model,Copyright,Photographer,DateTimeOriginal,Date,TimeOfDay,NoOfFaces,Focus,Shot Type,event_type,mood,action,caption,apparel,brands_and_logos,sublocation,Location
116,JSB07339.jpg,https://drive.google.com/file/d/1d3LA5Bohr-kjyPMDZbC69BVsRt85d0-E/view?usp=drivesdk,SIBONELO MAKHANYA,SONY,ILCE-7M4,CHENNAI SUPER KINGS,Siddharth K,2025/02/04 16:16,2025/02/04,Evening,1,Solo,Wide shot,Practice,Casual,Bowling,"A cricketer in green throws a ball during a Practice session, his focused expression evident. The SA20 logo is visible on the wickets.",Practice Jersey,"{betway, Mahindra}",Practice Nets,
117,JSB07329.jpg,https://drive.google.com/file/d/15cV55MWk4lfhHs_JyE48mW7mIp0zX3Fp/view?usp=drivesdk,EVAN JONES,SONY,ILCE-7M4,CHENNAI SUPER KINGS,Siddharth K,2025/02/04 16:13,2025/02/04,Evening,1,Solo,Close shot,Practice,Casual,Training,"A Chennai Super Kings cricketer, wearing a yellow helmet and green jersey, Practices behind a net, his expression serious and focused.",Practice Jersey,"{Chennai Super Kings, McDonald's}",Practice Nets,
118,JSB07335.jpg,https://drive.google.com/file/d/1w-kOipw6cs6F_8pscrzl8gBXUiRUODTr/view?usp=drivesdk,STEPHEN FLEMING,SONY,ILCE-7M4,CHENNAI SUPER KINGS,Siddharth K,2025/02/04 16:15,2025/02/04,Evening,4,Group,Wide shot,Practice,Casual,Sitting,"Chennai Super Kings coaching staff relax on a bench during a Training session, sporting team jerseys and relaxed expressions.",Practice Jersey,"{Mahindra, Betway, SRH20,  VOUCH,  Super Kings}",Practice Nets,
119,JSB07335.jpg,https://drive.google.com/file/d/1w-kOipw6cs6F_8pscrzl8gBXUiRUODTr/view?usp=drivesdk,TOMMY SIMSEK,SONY,ILCE-7M4,CHENNAI SUPER KINGS,Siddharth K,2025/02/04 16:15,2025/02/04,Evening,4,Group,Wide shot,Practice,Casual,Sitting,"Chennai Super Kings coaching staff relax on a bench during a Training session, sporting team jerseys and relaxed expressions.",Practice Jersey,"{Mahindra, Betway, SRH20,  VOUCH,  Super Kings}",Practice Nets,
120,JSB07335.jpg,https://drive.google.com/file/d/1w-kOipw6cs6F_8pscrzl8gBXUiRUODTr/view?usp=drivesdk,ERIC SIMONS,SONY,ILCE-7M4,CHENNAI SUPER KINGS,Siddharth K,2025/02/04 16:15,2025/02/04,Evening,4,Group,Wide shot,Practice,Casual,Sitting,"Chennai Super Kings coaching staff relax on a bench during a Training session, sporting team jerseys and relaxed expressions.",Practice Jersey,"{Mahindra, Betway, SRH20,  VOUCH,  Super Kings}",Practice Nets,
121,JSB07335.jpg,https://drive.google.com/file/d/1w-kOipw6cs6F_8pscrzl8gBXUiRUODTr/view?usp=drivesdk,JP KING,SONY,ILCE-7M4,CHENNAI SUPER KINGS,Siddharth K,2025/02/04 16:15,2025/02/04,Evening,4,Group,Wide shot,Practice,Casual,Sitting,"Chennai Super Kings coaching staff relax on a bench during a Training session, sporting team jerseys and relaxed expressions.",Practice Jersey,"{Mahindra, Betway, SRH20,  VOUCH,  Super Kings}",Practice Nets,
122,JSB07309.jpg,https://drive.google.com/file/d/1kRy1pBSYYfF0DmEdmLLJpUK9ZdywVdoQ/view?usp=drivesdk,DOUG BRACEWELL,SONY,ILCE-7M4,CHENNAI SUPER KINGS,Siddharth K,2025/02/04 16:11,2025/02/04,Evening,2,Group,Wide shot,Practice,Casual,Batting,"A cricketer, eyes focused, plays a defensive shot during a match.  His yellow pads and helmet stand out against the green jersey.  The action is intense.",Protective Gear,"{McDonald's, Super Kings, Betway, Moonwalker}",Practice Nets,
123,JSB07305.jpg,https://drive.google.com/file/d/1XAuecQEdvmCwwEJeJ_LLUIxnX8m_6fPD/view?usp=drivesdk,JP KING,SONY,ILCE-7M4,CHENNAI SUPER KINGS,Siddharth K,2025/02/04 16:10,2025/02/04,Evening,1,Solo,Close shot,Practice,Casual,Walking,"A Chennai Super Kings coach strolls across the cricket pitch during Practice, holding a ball launcher and a glove.  He wears a team jersey and sunglasses.",Practice Jersey,"{betway, Mahindra, Chennai Super Kings, Asics, Blu Voucher}",Practice Nets,
124,JSB07281.jpg,https://drive.google.com/file/d/1ubCTw5sLiRQMrDU7qM_pVeQwz6VrsMNO/view?usp=drivesdk,DOUG BRACEWELL,SONY,ILCE-7M4,CHENNAI SUPER KINGS,Siddharth K,2025/02/04 16:05,2025/02/04,Evening,2,Group,Close shot,Practice,Casual,Batting,"A cricketer, wearing Chennai Super Kings gear, intensely focuses as he executes a powerful shot during a match.  The background features a vibrant ""SA20"" logo.",Protective Gear,"{Gray-Nicolls, Super Kings, Moonwalker, Betway, U20}",Practice Nets,
125,JSB07299.jpg,https://drive.google.com/file/d/1w2dMnX_e6PcLPNIkRv5RktcTM9_iy3v0/view?usp=drivesdk,EVAN JONES,SONY,ILCE-7M4,CHENNAI SUPER KINGS,Siddharth K,2025/02/04 16:09,2025/02/04,Evening,2,Group,Wide shot,Practice,Casual,Batting,A cricketer in Chennai Super Kings gear powerfully drives a ball during a SA20 Practice session.  His focused expression reveals intense concentration.,Protective Gear,"{Chennai Super Kings, Betway, Forma}",Practice Nets,
126,JSB07289.jpg,https://drive.google.com/file/d/10oaYjBoUWeQ-Fsq-L4hxvRLlFV6MEihO/view?usp=drivesdk,DOUG BRACEWELL,SONY,ILCE-7M4,CHENNAI SUPER KINGS,Siddharth K,2025/02/04 16:07,2025/02/04,Evening,1,Solo,Close shot,Practice,Casual,Batting,"A cricketer, focused and intense, prepares to strike during a match.  His yellow pads and helmet stand out against the vibrant background.",Protective Gear,"{Super Kings, Moonwalker, SS20, Betway}",Practice Nets,
